YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,GarageArea,TotalBsmtSF,GarageCars,2ndFlrSF,GrLivArea,OverallQual,SalePrice
1963,1963,5,1,970,624,970,2,0,970,5,132500
1998,1997,7,2,1493,508,1478,2,0,1493,6,208900
2006,2006,9,2,2069,694,2153,3,574,2643,9,380000
2008,2007,7,2,1718,826,1705,3,0,1718,8,297000
2000,1937,7,1,1131,672,907,2,0,1131,4,89471
2005,2004,8,2,1850,772,1833,3,0,1850,9,326000
2004,2003,6,2,1792,874,1792,3,0,1792,9,374000
2005,1915,7,1,916,164,910,1,910,1826,7,155000
1998,1998,5,2,1216,402,1216,2,0,1216,6,164000
2001,1962,6,1,999,264,999,1,0,999,5,132500
2007,1950,5,1,1113,264,1113,1,0,1113,5,147000
1965,1965,6,1,1073,515,1073,2,0,1073,5,156000
1971,1971,7,2,1484,487,1484,2,0,1484,5,175000
1970,1900,10,2,1766,520,954,2,648,2414,5,160000
2002,1970,3,1,630,286,630,1,0,630,4,86000
1976,1976,4,1,616,336,264,1,688,1304,5,115000
1950,1941,5,1,958,240,806,1,620,1578,6,133000
2006,2006,8,2,728,429,728,2,728,1456,6,172785
1960,1960,6,1,1269,308,1269,1,0,1269,5,155000
1996,1938,4,1,886,273,190,1,0,886,5,91300
1950,1920,4,1,720,0,720,0,0,720,4,34900
1993,1992,10,3,3228,546,3200,2,0,3228,8,430000
1950,1925,8,2,1133,240,1026,1,687,1820,7,184000
2004,1967,5,1,899,288,864,1,0,899,5,130000
1985,1958,5,1,912,297,912,1,0,912,5,120000
1973,1973,7,1,672,264,672,1,546,1218,6,113000
2005,2005,7,2,866,603,866,2,902,1768,7,226700
1965,1965,6,1,1214,461,1214,2,0,1214,5,140000
1997,1959,6,2,1801,484,1501,2,0,1801,7,289000
1974,1974,6,2,855,440,855,2,467,1322,6,147000
1952,1952,10,2,960,400,960,2,1000,1960,5,124500
1994,1993,8,2,1065,471,777,2,846,1911,8,215000
2009,2009,4,2,1218,676,1218,2,0,1218,6,208300
2005,1928,7,2,689,360,689,2,689,1378,7,161000
1959,1959,6,1,1041,270,1041,1,0,1041,5,124500
2000,1951,6,1,1363,288,1008,1,0,1363,5,164900
2006,2005,6,2,1368,474,1368,2,0,1368,7,202665
1958,1958,5,1,864,624,864,2,0,864,5,129900
1983,1983,5,1,1080,484,1084,2,0,1080,6,134000
1950,1926,5,1,789,200,768,1,0,789,5,96500
2009,2009,9,2,2020,900,2006,3,0,2020,10,402861
1972,1972,7,2,1378,583,689,2,741,2119,6,158000
1997,1996,7,2,1277,889,1264,3,1067,2344,7,265000
1998,1998,7,2,882,546,794,2,914,1796,6,211000
2004,1926,9,1,1276,282,1276,1,804,2080,7,234000
2000,1900,7,2,694,0,0,0,600,1294,4,106250
1957,1957,6,1,1244,336,1244,1,0,1244,6,150000
1950,1947,7,2,1004,420,1004,2,660,1664,6,159000
2008,2007,11,3,3138,884,3138,3,1538,4676,10,184750
1997,1996,8,2,1383,834,1379,3,1015,2398,7,315750
2005,2005,6,2,1266,453,1257,2,0,1266,7,176000
2000,1956,4,1,928,252,928,1,0,928,5,132000
2008,2008,11,2,1476,858,1452,3,1237,2713,9,446261
2002,1920,5,1,605,0,528,0,0,605,4,86000
1975,1957,9,3,2515,484,2035,2,0,2515,6,200624
1989,1988,5,2,1509,600,1461,2,0,1509,6,175000
1999,1920,6,2,751,502,611,2,611,1362,6,128000
2007,1955,5,1,827,392,0,1,0,827,5,107500
1950,1946,2,1,334,0,0,0,0,334,1,39300
2004,2004,6,2,707,403,707,2,707,1414,8,178000
1991,1910,5,1,820,0,1117,0,527,1347,5,107500
1999,1998,8,2,880,527,880,2,844,1724,7,188000
1972,1972,5,1,864,576,864,2,0,864,4,111250
1968,1968,7,1,1159,336,1051,1,0,1159,5,158000
2002,2001,6,2,1601,670,1581,2,0,1601,8,272000
2006,2006,8,2,1838,765,1838,3,0,1838,9,315000
2000,2000,8,2,997,648,969,3,1288,2285,8,248000
1999,1998,7,2,1680,583,1650,2,0,1680,7,213250
1998,1998,4,1,767,367,723,1,0,767,7,133000
2006,2006,7,2,664,426,654,2,832,1496,7,179665
1988,1988,9,2,1377,786,1204,3,806,2183,7,229000
1950,1923,6,1,915,440,1065,2,720,1635,6,210000
1970,1970,5,1,768,624,768,2,0,768,5,129500
1995,1955,4,1,825,720,825,2,0,825,5,125000
2004,2003,8,2,912,615,912,2,1182,2094,7,263000
1977,1977,4,2,1069,440,1069,2,0,1069,6,140000
1957,1957,5,1,928,288,928,1,0,928,5,112500
2006,2006,7,2,1717,908,1709,3,0,1717,8,255500
2003,1949,5,2,1126,520,0,2,0,1126,4,108000
2004,2003,8,2,1006,871,998,3,1040,2046,7,284000
1950,1922,5,1,1048,280,993,1,0,1048,5,113000
1957,1957,6,1,1092,299,1092,1,0,1092,5,141000
1950,1920,7,1,897,570,637,1,439,1336,4,108000
1997,1996,6,2,729,406,729,2,717,1446,7,175000
2004,2003,7,2,1557,420,1374,2,0,1557,7,234000
1996,1957,5,1,1392,528,1392,2,0,1392,5,121500
1975,1974,6,1,1389,418,1389,2,0,1389,5,170000
1969,1940,6,1,996,0,996,0,0,996,5,108000
1950,1918,8,2,1163,396,1163,2,511,1674,6,185000
2000,1992,9,2,1166,590,1095,2,1129,2295,7,268000
1950,1915,6,1,841,216,806,1,806,1647,6,128000
2007,2005,11,2,1134,656,1122,3,1370,2504,9,325000
2004,2004,7,2,1535,532,1517,2,0,1535,7,214000
2009,1983,5,1,1496,612,1496,2,636,2132,8,316600
1979,1979,4,1,943,600,943,2,0,943,5,135960
1965,1965,10,2,1728,576,1728,2,0,1728,5,142600
1959,1959,4,1,864,288,864,1,0,864,6,120000
2009,2009,6,2,846,650,846,2,846,1692,7,224500
2000,2000,8,2,774,400,384,2,656,1430,7,170000
2005,1971,5,1,576,288,372,1,533,1109,5,139000
1950,1947,6,1,832,336,832,1,384,1216,5,118500
1950,1928,6,2,877,216,861,1,600,1477,7,145000
1966,1966,6,1,1320,564,1164,2,0,1320,5,164500
2007,2007,5,2,703,540,689,2,689,1392,7,146000
1954,1954,7,2,1050,352,1050,1,745,1795,5,131500
1987,1960,7,1,1429,572,1144,2,0,1429,6,181900
2009,2008,8,2,2042,1390,2042,3,0,2042,8,253293
1990,1990,5,1,816,0,816,0,0,816,6,118500
2000,1893,9,3,1521,880,1237,2,1254,2775,10,325000
1995,1935,6,1,989,240,884,1,584,1573,4,133000
2006,2005,7,2,2028,880,1868,3,0,2028,8,369900
2000,1918,5,1,838,275,816,1,0,838,6,130000
1982,1982,4,1,860,528,840,2,0,860,5,137000
2003,1968,5,1,1473,452,1437,1,0,1473,5,143000
1960,1930,4,1,779,308,742,1,0,935,5,79500
2004,2004,6,2,770,520,770,2,812,1582,7,185900
2008,2008,10,2,1728,842,1722,3,568,2296,10,451950
2003,1982,4,1,816,816,816,2,0,816,5,138000
2003,2003,4,1,848,420,848,2,0,848,6,140000
1975,1975,5,1,924,280,924,1,0,924,5,110000
2006,2005,7,2,1826,758,1814,3,0,1826,8,319000
1993,1910,7,1,684,216,684,1,684,1368,6,114504
2007,2006,7,0,1402,648,1258,3,0,1402,7,194201
1977,1977,7,2,1647,621,1430,2,0,1647,5,217500
1980,1980,6,2,716,452,716,2,840,1556,6,151000
2005,2005,8,2,1058,736,1058,2,846,1904,8,275000
1950,1937,6,1,780,544,780,1,595,1375,6,141000
1992,1992,8,2,927,506,908,2,988,1915,8,220000
2005,2004,4,2,600,480,600,2,600,1200,7,151000
2002,2002,6,2,1494,530,1494,2,0,1494,7,221000
1990,1965,7,2,1186,486,768,2,800,1986,7,205000
1996,1996,6,1,1040,576,1040,2,0,1040,5,152000
2002,1948,8,3,1112,230,896,1,896,2008,5,225000
1998,1934,10,2,1940,380,965,2,1254,3194,8,359100
1961,1961,5,1,1029,261,1029,1,0,1029,4,118500
2000,2000,8,2,1476,736,1440,3,677,2153,9,313000
1978,1978,6,2,1032,564,1032,2,0,1032,6,148000
2001,2001,7,2,1299,531,1299,2,573,1872,8,261500
2007,2007,6,1,1120,0,1120,0,0,1120,5,147000
1972,1972,3,1,630,0,630,0,0,630,4,75500
1963,1963,6,1,1054,480,936,2,0,1054,6,137500
2003,2002,7,2,807,393,783,2,702,1509,6,183200
1954,1954,4,1,832,528,832,2,0,832,6,105500
2007,2007,9,2,1828,774,1822,3,0,1828,9,314813
2003,2003,10,2,1482,749,1482,3,780,2262,8,305000
1950,1914,5,1,864,0,864,0,0,864,3,67000
1997,1974,9,2,1548,624,1522,2,1066,2614,6,240000
1977,1977,6,1,980,484,980,2,0,980,5,135000
2000,2000,4,2,756,440,756,2,756,1512,6,168500
1972,1972,8,1,1012,484,732,2,778,1790,6,165150
1962,1962,5,1,1116,440,1116,2,0,1116,6,160000
1978,1960,6,1,1422,286,978,1,0,1422,5,139900
1972,1955,7,1,1520,364,1156,1,0,1520,6,153000
1969,1969,9,1,1040,504,1040,2,1040,2080,5,135000
1964,1964,6,1,1350,520,1248,2,0,1350,6,168500
1991,1880,8,1,1089,240,636,1,661,1750,5,124000
2006,2006,6,2,1554,627,1554,2,0,1554,8,209500
1977,1977,6,2,1411,544,1386,2,0,1411,7,82500
2005,1954,6,1,1056,260,1056,1,0,1056,5,139400
1980,1980,4,0,1056,576,1056,2,0,1056,6,144000
1995,1914,14,2,1440,0,1440,0,1440,3395,6,200000
1950,1936,4,1,800,0,264,0,0,800,2,60000
1954,1954,7,2,811,256,811,1,576,1387,5,93000
1950,1910,4,1,796,0,796,0,0,796,5,85000
2006,2006,7,2,1567,648,1520,3,0,1567,8,264561
2004,2003,6,1,1518,588,1518,2,0,1518,8,274000
2001,2001,7,2,1057,650,1057,2,872,1929,7,226000
1995,1972,9,2,2000,538,1952,2,704,2704,8,345000
1969,1969,7,2,780,462,780,2,840,1620,5,152000
2009,2009,7,2,1766,478,1766,3,0,1766,9,370878
1971,1971,5,1,981,576,981,2,0,981,6,143250
1950,1950,7,1,1048,420,0,2,0,1048,5,98300
1953,1953,5,1,1094,495,1094,2,0,1094,6,155000
1966,1966,7,1,1051,442,756,2,788,1839,6,155000
1970,1970,3,1,630,0,630,0,0,630,4,84500
2007,2007,7,2,822,562,813,2,843,1665,7,205950
1950,1940,7,1,755,296,755,1,755,1510,4,108000
1996,1996,7,2,909,512,880,2,807,1716,7,191000
1995,1906,7,1,756,216,756,1,713,1469,6,135000
1995,1995,7,2,2113,839,2109,3,0,2113,8,350000
1971,1971,6,1,525,264,525,1,567,1092,6,88000
2006,1959,5,1,1053,312,1053,1,0,1053,5,145500
2000,1931,6,1,851,270,776,1,651,1502,7,149000
1950,1948,6,1,912,330,912,1,546,1458,6,97500
1999,1964,7,1,1486,480,1486,2,0,1486,5,167000
1976,1976,7,2,1142,550,793,2,793,1935,7,197900
2005,1994,8,2,1686,711,1629,3,762,2448,8,402000
1968,1968,5,1,1392,576,1392,2,0,1392,6,110000
1972,1972,6,2,1181,588,1138,2,0,1181,4,137500
2006,2005,8,1,2097,1134,2077,3,0,2097,8,423000
2000,2000,7,2,1454,504,1406,2,482,1936,8,230500
1979,1965,7,2,1465,596,1021,2,915,2380,6,129000
1998,1994,7,2,1679,575,1408,2,0,1679,6,193500
1987,1956,6,1,1437,576,1188,2,0,1437,5,168000
1950,1922,5,1,1180,252,700,1,0,1180,4,137500
2005,2005,7,2,738,540,738,2,738,1476,6,173500
1950,1925,6,2,697,300,672,1,672,1369,6,103600
1977,1977,6,1,1208,546,1208,2,0,1208,6,165000
2004,1957,7,2,1839,416,1477,2,0,1839,6,257500
1965,1965,5,1,1136,384,1136,1,0,1136,6,140000
1978,1978,7,2,855,440,855,2,586,1441,6,148500
1950,1900,8,2,1095,779,1095,3,679,1774,4,87000
2006,1924,5,1,792,240,768,1,0,792,5,109500
2008,2008,7,2,2046,834,2046,3,0,2046,8,372500
1961,1961,5,1,988,572,988,2,0,988,5,128500
1980,1980,5,2,923,264,923,1,0,923,6,143000
2000,1932,6,1,848,281,793,1,672,1520,5,159434
1997,1996,6,1,1291,431,1291,2,0,1291,6,173000
2002,2002,7,2,1668,702,1626,3,0,1668,9,285000
1998,1998,7,2,1195,486,1195,2,644,1839,7,221000
1984,1984,6,2,1190,577,1190,2,900,2090,7,207500
2007,2007,7,3,874,578,874,2,887,1761,7,227875
2004,2004,4,2,551,480,551,2,551,1102,7,148800
2007,2007,7,2,1419,567,1419,2,0,1419,8,392000
2006,2005,6,2,1362,460,1362,2,0,1362,6,194700
2004,2004,3,1,848,420,848,2,0,848,6,141000
1995,1994,10,3,2444,832,2444,3,1872,4316,10,755000
1990,1989,9,2,1238,628,1210,2,1281,2519,7,335000
1968,1921,4,1,1073,326,1073,1,0,1073,5,108480
1950,1936,5,1,1067,576,927,2,472,1539,5,141500
1987,1987,5,2,1137,551,1112,2,0,1137,6,176000
1950,1921,4,1,616,205,616,1,0,616,5,89000
1952,1952,6,1,1148,308,980,1,0,1148,5,123500
2009,1965,5,1,894,336,894,1,0,894,5,138500
2004,2004,5,2,1391,530,1391,2,0,1391,7,196000
2002,2002,7,2,1800,765,1800,3,0,1800,8,312500
1969,1969,6,1,1164,528,1164,2,0,1164,7,140000
2006,2006,10,2,1264,666,1234,3,1312,2576,8,361919
1996,1900,8,2,1032,672,360,2,780,1812,5,140000
2005,2004,7,2,1484,606,1473,2,0,1484,7,213000
1950,1930,7,2,372,0,0,0,720,1092,4,55000
2002,1971,5,2,1824,739,1643,2,0,1824,7,302000
2006,2006,6,2,1324,550,1324,2,0,1324,8,254000
2007,2007,8,2,728,400,728,2,728,1456,7,179540
1966,1966,6,1,904,408,876,1,0,904,5,109900
2003,1935,5,1,729,0,270,0,0,729,3,52000
1950,1900,7,1,859,384,859,1,319,1178,4,102776
1989,1988,5,2,1228,472,1228,2,0,1228,8,189000
1970,1970,6,1,960,576,960,2,0,960,4,129000
2005,1976,6,2,725,475,725,2,754,1479,6,130500
1974,1974,7,2,1350,478,1064,2,0,1350,6,165000
1998,1890,8,1,1576,704,718,2,978,2554,7,159500
2000,1973,5,1,1178,439,1176,2,0,1178,5,157000
1994,1993,9,2,1325,983,1311,3,1093,2418,7,341000
1969,1969,5,1,971,300,971,1,0,971,5,128500
1985,1985,5,2,1742,564,1742,2,0,1742,8,275000
2004,2004,3,1,848,420,848,2,0,848,6,143000
1970,1970,5,1,864,463,864,2,0,864,4,124500
1972,1954,7,2,997,548,941,1,473,1470,4,135000
2008,2007,8,2,1698,768,1698,3,0,1698,9,320000
1970,1970,5,1,864,660,864,2,0,864,4,120500
2007,1988,5,2,1680,540,880,2,0,1680,6,222000
2007,2007,6,2,1232,632,1232,2,0,1232,7,194500
1958,1958,9,2,1776,888,1584,3,0,1776,5,110000
1950,1925,5,1,848,539,780,2,0,1208,4,103000
1996,1995,5,2,1616,608,1595,2,0,1616,8,236500
2003,2003,6,2,1146,438,868,2,0,1146,7,187500
1999,1998,8,2,1153,541,1153,2,878,2031,7,222500
1983,1961,6,1,1144,264,864,1,0,1144,5,131400
1968,1968,6,1,948,300,948,1,0,948,5,108000
1970,1914,6,1,880,320,880,2,888,1768,7,163000
1950,1950,6,2,1040,400,0,2,0,1040,3,93500
2005,2005,8,2,901,800,893,3,900,1801,8,239900
1988,1987,5,3,1200,0,1200,0,0,1200,5,179000
2004,2004,7,2,864,572,864,2,864,1728,7,190000
2002,1910,7,2,768,360,264,2,664,1432,5,132000
1996,1961,5,1,912,288,912,1,0,912,6,142000
2001,2000,6,2,1349,539,1349,2,0,1349,7,179000
1999,1963,6,2,1464,480,520,2,0,1464,5,175000
1993,1993,5,2,1337,462,1337,2,0,1337,8,180000
1996,1976,11,3,1175,831,1142,2,1540,2715,8,299800
2000,2000,8,2,980,554,952,2,1276,2256,7,236000
2003,1880,8,1,1320,864,1240,4,1320,2640,7,265979
1996,1996,7,2,1720,527,1720,2,0,1720,7,260400
1950,1945,9,2,1088,240,0,1,441,1529,4,98000
2004,1910,7,1,792,0,576,0,348,1140,4,96500
2003,2003,6,2,660,400,660,2,660,1320,7,162000
1997,1997,6,2,1494,576,1479,2,0,1494,6,217000
2005,2005,8,2,1038,878,1030,3,1060,2098,8,275500
2005,1969,5,1,1026,440,1026,2,0,1026,6,156000
1999,1999,6,2,742,440,729,2,729,1471,6,172500
2007,2007,7,2,866,578,866,2,902,1768,8,212000
1978,1978,6,2,672,440,672,2,714,1386,6,158900
1999,1999,6,2,757,440,744,2,744,1501,7,179400
1995,1995,9,2,1328,752,1318,3,1203,2531,8,290000
1959,1959,5,1,864,300,864,1,0,864,6,127500
1950,1924,5,1,1301,440,1145,2,0,1301,5,100000
2009,2009,7,2,764,614,756,2,783,1547,7,215200
1999,1999,8,2,1268,856,1252,3,1097,2365,8,337000
1996,1995,6,1,1494,481,1494,2,0,1494,8,270000
2008,2008,6,2,1506,592,1498,2,0,1506,9,264132
1988,1988,7,2,980,496,980,2,734,1714,7,196500
1985,1940,7,2,983,423,983,1,767,1750,6,160000
2005,2004,8,2,1836,484,1860,2,0,1836,7,216837
2003,2003,12,3,1690,841,1650,3,1589,3279,8,538000
1982,1982,5,1,858,576,858,2,0,858,5,134900
1951,1951,6,1,1220,396,836,2,0,1220,4,102000
1976,1976,6,1,1117,672,1029,2,0,1117,6,107000
1958,1958,5,1,912,275,912,1,0,912,5,114500
2006,2006,9,2,1973,895,1935,3,0,1973,8,395000
1998,1998,5,2,1204,412,1204,2,0,1204,6,162000
2006,2005,7,2,1614,865,1614,3,0,1614,7,221500
1974,1974,5,1,894,440,864,2,0,894,5,142500
1977,1977,10,2,2020,630,0,2,0,2020,5,144000
1977,1977,4,1,1004,504,975,2,0,1004,6,135000
1996,1995,6,2,1253,402,1237,2,0,1253,7,176000
1992,1992,7,2,810,484,761,2,793,1603,6,175900
2002,2001,6,2,1430,605,1413,2,0,1430,7,187100
1978,1978,4,1,1110,602,1097,2,0,1110,5,165500
2001,1914,9,2,742,0,742,0,742,1484,6,128000
1967,1967,7,2,1342,457,1372,2,0,1342,6,161500
1950,1915,7,2,966,416,686,1,686,1652,5,139000
2004,2004,8,2,956,618,956,2,1128,2084,7,233000
2000,1954,4,1,901,281,901,1,0,901,4,107900
2007,1966,9,2,976,444,832,2,1111,2087,6,187500
2006,2005,5,2,1145,397,1145,2,0,1145,7,160200
1976,1976,5,1,1062,539,1029,2,0,1062,6,146800
1997,1996,8,2,1127,455,1117,2,886,2013,7,269790
2007,2007,7,2,1496,474,1496,2,0,1496,8,225000
1996,1994,7,2,1086,409,712,2,809,1895,7,194500
1981,1980,7,2,888,476,650,2,676,1564,6,171000
1977,1977,7,1,1285,528,660,2,0,1285,6,143500
1953,1953,4,1,773,240,773,1,0,773,5,110000
2009,2008,11,3,1966,820,1926,3,1174,3140,9,485000
1950,1937,7,1,981,240,731,1,787,1768,5,175000
1997,1997,8,2,616,603,616,2,1072,1688,6,200000
1990,1916,5,1,1196,440,1196,2,0,1196,4,109900
2005,2005,7,2,728,410,728,2,728,1456,7,189000
2009,2008,12,3,1734,1020,1734,3,1088,2822,9,582933
1954,1954,5,1,1128,286,936,1,0,1128,5,118000
2008,2008,6,2,1428,554,1417,2,0,1428,7,227680
1967,1967,6,2,980,384,980,1,0,980,5,135500
2004,1923,6,1,1072,528,1324,2,504,1576,5,223500
1966,1966,6,1,1086,484,1024,2,0,1086,5,159950
1965,1898,11,2,1075,360,849,2,1063,2138,5,106000
1999,1974,5,1,1309,484,1040,2,0,1309,6,181000
2004,2004,4,1,848,420,848,2,0,848,6,144500
1952,1952,4,1,1044,504,540,2,0,1044,5,55993
1958,1958,7,1,1442,301,1442,1,0,1442,6,157900
1950,1918,7,1,686,280,686,1,564,1250,5,116000
1998,1998,6,2,1661,598,1649,2,0,1661,7,224900
1954,1954,4,1,1008,275,1008,1,0,1008,5,137000
2002,2002,7,2,1689,857,1568,3,0,1689,8,271000
1971,1971,6,1,1052,440,1010,2,0,1052,6,155000
2010,2009,6,2,1358,484,1358,2,0,1358,7,224000
2003,2003,6,2,798,595,798,2,842,1640,7,183000
1953,1953,4,1,936,576,936,2,0,936,4,93000
2003,2003,7,2,847,433,847,2,886,1733,7,225000
1950,1940,7,2,944,240,778,1,545,1489,6,139500
2006,2006,7,2,1489,776,1489,2,0,1489,8,232600
2008,2007,7,2,2084,1220,2078,3,0,2084,10,385000
1950,1924,5,1,784,0,784,0,0,784,5,109500
2001,2001,6,2,1434,527,1454,2,0,1434,7,189000
1967,1967,7,2,1160,538,1013,2,966,2126,5,185000
2005,2005,4,2,520,480,600,2,623,1223,7,147400
1957,1957,6,1,1392,458,1392,2,0,1392,6,166000
2005,2005,4,2,520,480,600,2,600,1200,7,151000
2003,2003,7,2,941,613,941,2,888,1829,7,237000
1964,1964,6,1,1516,472,1516,2,0,1516,6,167000
1961,1961,6,1,1144,456,1144,2,0,1144,5,139950
1995,1950,4,2,1067,436,1067,2,0,1067,4,128000
1973,1948,5,1,1559,812,1559,2,0,1559,5,153500
1973,1973,5,1,483,264,483,1,504,987,6,100000
2006,1995,6,1,1099,352,1099,1,0,1099,5,144000
1995,1946,6,1,768,240,768,1,432,1200,5,130500
1950,1925,7,2,810,400,672,1,672,1482,6,140000
2002,1904,8,2,958,686,650,2,581,1539,5,157500
1966,1966,6,1,1165,490,1127,2,0,1165,6,174900
1961,1961,10,2,1800,0,1800,0,0,1800,5,141000
1950,1915,7,1,876,720,876,3,540,1416,5,153900
1981,1975,6,2,1701,611,1390,2,0,1701,5,171000
1993,1993,7,2,1006,425,740,2,769,1775,7,213000
1972,1972,5,1,864,338,864,1,0,864,5,133500
1997,1908,10,3,1307,360,907,2,1051,2358,6,240000
1994,1976,7,2,1094,512,528,2,761,1855,6,187000
2003,2003,3,1,848,420,848,2,0,848,6,131500
2003,2003,7,2,1456,400,1273,2,0,1456,8,215000
1950,1941,7,2,918,240,918,1,728,1646,7,164000
1964,1964,7,1,1445,645,1127,2,0,1445,6,158000
1974,1955,6,1,1779,454,1763,2,0,1779,5,170000
2010,1962,6,1,1040,260,1040,1,0,1040,5,127000
1978,1978,5,1,1026,576,940,2,0,1026,6,147000
1995,1994,6,2,702,343,702,2,779,1481,6,174000
1976,1976,6,2,1370,479,1090,2,0,1370,7,152000
1984,1968,9,2,1512,619,1054,2,1142,2654,6,250000
1998,1918,7,1,912,216,912,1,514,1426,7,189950
1965,1965,6,1,1039,504,1039,2,0,1039,5,131500
1985,1984,6,2,1097,480,1040,2,0,1097,6,152000
1959,1959,6,1,1148,672,1148,1,0,1148,5,132500
2008,2007,6,2,1372,529,1372,2,0,1372,7,250580
1970,1970,5,1,1002,902,1002,2,0,1002,5,148500
2007,2006,6,2,1646,870,1638,3,0,1646,8,248900
1961,1961,5,1,1120,544,1040,2,0,1120,4,129000
1950,1948,7,2,1547,672,0,2,720,2320,5,169000
1994,1993,8,2,1062,574,1050,2,887,1949,7,236000
1962,1962,5,1,894,308,894,1,0,894,5,109500
1998,1998,7,2,804,523,804,2,878,1682,6,200500
1996,1953,5,1,910,414,105,2,0,910,5,116000
1950,1949,6,1,1036,288,832,1,0,1268,5,133000
1950,1941,5,1,676,200,676,1,455,1131,5,66500
2007,2007,11,2,1184,550,1184,2,1426,2610,8,303477
1963,1963,5,1,1040,648,1064,2,0,1040,4,132250
2005,2004,10,2,1462,738,1462,3,762,2224,9,350000
1995,1961,6,1,1155,576,1109,2,0,1155,5,148000
2005,1978,6,1,864,336,864,1,0,864,5,136500
2006,2005,5,1,1090,450,1090,2,0,1090,5,157000
1991,1990,7,2,1187,400,1156,2,530,1717,7,187500
1993,1992,7,2,808,389,808,2,785,1593,6,178000
1950,1912,10,1,954,440,795,1,795,2230,4,118500
1967,1967,5,1,892,288,892,1,0,892,5,100000
2000,1999,5,2,1709,506,1698,2,0,1709,9,328900
2005,1959,8,2,1712,588,1626,2,0,1712,5,145000
1955,1955,8,1,872,300,816,1,521,1393,5,135500
1970,1970,8,2,2217,621,2217,2,0,2217,8,268000
1953,1953,6,1,1505,505,1505,2,0,1505,6,149500
2006,1949,6,1,672,576,672,2,252,924,5,122900
1978,1978,7,2,918,440,918,2,765,1683,6,172500
2003,1963,6,1,1068,264,1059,1,0,1068,6,154500
1954,1954,6,1,1383,354,1383,1,0,1383,5,165000
1979,1979,8,2,1535,400,0,2,0,1535,5,118858
1963,1963,8,1,983,483,780,2,813,1796,6,140000
1950,1936,6,1,951,327,951,1,0,951,4,106500
1979,1979,12,2,1120,528,0,2,1120,2240,5,142953
2010,2009,11,2,2364,820,2330,3,0,2364,9,611657
1994,1961,6,1,1236,288,912,1,0,1236,5,135000
1971,1971,4,1,858,684,858,1,0,858,4,110000
2000,1957,5,1,1306,756,992,1,0,1306,5,153000
2003,2003,8,2,807,393,783,2,702,1509,7,180000
2006,2006,7,2,1670,690,1670,3,0,1670,7,240000
1967,1967,6,1,902,288,876,1,0,902,5,125500
1954,1954,6,1,1063,280,1056,1,0,1063,5,128000
2006,2006,8,2,1636,865,1623,3,0,1636,8,255000
1987,1936,6,1,1020,180,1017,1,1037,2057,7,250000
1983,1983,5,1,902,484,864,2,0,902,5,131000
2005,2005,8,2,742,390,742,2,742,1484,6,174000
1960,1960,12,2,1105,480,1105,2,1169,2274,5,154300
1989,1977,5,1,1268,252,1268,1,0,1268,5,143500
1950,1925,6,1,1015,450,768,1,0,1015,5,88000
1950,1949,8,2,1001,871,1001,3,1001,2002,5,145000
2009,2009,4,2,612,528,612,2,612,1224,6,173733
1970,1970,6,1,546,286,546,1,546,1092,4,75000
1950,1949,4,0,480,308,480,1,0,480,2,35311
1956,1956,6,1,1229,284,1134,1,0,1229,4,135000
1991,1991,8,2,912,833,1104,3,1215,2127,7,238000
2002,1958,6,1,1414,601,1184,2,0,1414,6,176500
1994,1994,7,2,936,471,928,2,785,1721,6,201000
2003,1900,9,2,1272,0,1272,0,928,2200,5,145900
2006,2005,6,2,1316,397,1316,2,0,1316,6,169990
1994,1993,5,2,1617,533,1604,2,0,1617,6,193000
1980,1980,7,2,1686,612,1686,2,0,1686,6,207500
1977,1977,6,2,1126,540,1126,2,0,1126,5,175000
2004,2003,10,2,1234,656,1181,3,1140,2374,8,285000
1968,1968,9,2,1098,486,832,2,880,1978,7,176000
2001,2001,7,2,1788,522,1753,2,0,1788,8,236500
1997,1997,8,2,993,642,964,2,1243,2236,7,222000
2007,2007,7,2,1466,610,1466,3,0,1466,8,201000
1965,1965,5,1,925,429,925,1,0,925,5,117500
2006,2006,8,2,1905,788,1905,3,0,1905,9,320000
2004,2004,6,2,1500,570,1500,2,0,1500,7,190000
2007,1960,9,2,2069,505,585,2,0,2069,7,242000
1953,1926,5,1,747,528,600,2,0,747,4,79900
2003,2003,5,2,1200,555,1176,2,0,1200,7,184900
2005,2005,8,2,1113,689,1113,2,858,1971,7,253000
2006,2006,7,2,1391,868,1391,3,571,1962,7,239799
1950,1940,10,2,1207,349,1032,1,1196,2403,7,244400
1976,1976,8,2,1728,574,1728,2,0,1728,6,150900
1999,1999,8,2,1022,390,992,2,1038,2060,7,214000
1977,1977,8,2,1440,0,1440,0,0,1440,4,150000
1967,1967,8,2,1632,576,1632,2,0,1632,5,143000
1958,1958,7,1,1344,525,819,2,0,1344,6,137500
1996,1890,7,1,1188,456,1088,2,561,1869,5,124900
1959,1959,6,1,1144,796,1144,1,0,1144,5,143000
2003,2002,9,2,1629,808,1616,3,0,1629,8,270000
2002,2002,7,2,936,474,936,2,840,1776,7,192500
2006,1972,5,1,1381,676,1161,2,0,1381,6,197500
2002,1950,5,1,864,720,864,2,0,864,5,129000
1965,1965,6,1,965,300,828,1,0,965,5,119900
2003,1972,5,1,768,396,768,1,0,768,5,133900
